lemma,sense_name,definition,example,example_source,contains_word,Notes
rock,rock.n.01,a lump or mass of hard consolidated mineral matter,He threw a rock at me,wordnet,TRUE,
stone,rock.n.01,a lump or mass of hard consolidated mineral matter,He threw a stone at me,hand_written,FALSE,
ball,ball.n.12,a pitch that is not in the strike zone,He threw nine straight balls before the manager yanked him,wordnet,TRUE,
drink,swallow.n.02,the act of swallowing,He took a drink of his beer and smacked his lips,wordnet,TRUE,
shower,shower.n.02,washing yourself by standing upright under water sprayed from a nozzle,He took a shower after the game,wordnet,TRUE,
swing,swing.n.03,a sweeping blow or stroke,He took a wild swing at my head,wordnet,TRUE,
tape,magnetic_tape.n.01,memory device consisting of a long thin plastic strip coated with iron oxide; used to record audio or video signals or to store computer information,He took along a dozen tapes to record the interview,wordnet,TRUE,
hat,hat.n.02,an informal term for a person's role,He took off his politician's hat and talked frankly,wordnet,TRUE,
take,take.v.39,develop a habit,He took to visiting bars,wordnet,FALSE,
touch,touch.v.08,cause to be in brief contact with,He touched his toes to the horse's flanks,wordnet,TRUE,
touch,allude.v.01,make a more or less disguised reference to,He touched on the problem but did not mention it,hand_written,TRUE,
eye,eye.n.03,attention to what is seen,He tried to catch her eye,wordnet,TRUE,
ear,ear.n.04,attention to what is said,He tried to get her ear,wordnet,TRUE,
hit,hit.v.17,pay unsolicited and usually unwanted sexual attention to,He tries to hit on women in bars,wordnet,TRUE,
book,book.n.02,physical objects consisting of a number of pages bound together,He used a large book as a doorstop,wordnet,TRUE,
tape,tape.n.01,a long thin piece of cloth or paper as used for binding or fastening,He used a piece of tape for a belt,wordnet,TRUE,
walk,walk.v.09,make walk,He walks the horse up the mountain,wordnet,TRUE,
stone,stone.n.02,building material consisting of a piece of rock hewn in a definite shape for a special purpose,He wanted a special stone to mark the site,wordnet,TRUE,
hand,hand.n.04,ability,He wanted to try his hand at singing,wordnet,TRUE,
crayon,crayon.n.01,writing implement consisting of a colored stick of composition wax used for writing and drawing,He wants to draw with the crayons,childes,TRUE,
coke,coke.n.03,street names for cocaine,He was arrested for a baggie of coke,hand_written,TRUE,
bat,bat.n.02,(baseball) a turn trying to get a hit,He was at bat when it happened,wordnet,TRUE,
head,forefront.n.01,the part in the front or nearest the viewer,He was at the head of the column,wordnet,TRUE,
chair,professorship.n.01,the position of professor,He was awarded an endowed chair in economics,wordnet,TRUE,
break,demote.v.01,assign to a lower position; reduce in rank,He was broken down to Sergeant,wordnet,FALSE,
rock,rock.n.04,(figurative) someone who is strong and stable and dependable,He was her rock during the crisis,wordnet,TRUE,
knock,tap.v.07,"make light, repeated taps on a surface",He was knocking his fingers on the table impatiently,hand_written,TRUE,
clean,clean.a.06,ritually clean or pure,He was listening to the clean version of the song,hand_written,TRUE,
pen,penitentiary.n.01,a correctional institution for those convicted of major crimes,He was sentenced to 10 years in the pen,hand_written,TRUE,
shake,shake.v.08,bring to a specified condition by or as if by shaking,He was shaken from his dreams,wordnet,TRUE,
soft,soft.a.02,compassionate and kind; conciliatory,He was soft on his children,wordnet,TRUE,
soft,soft.s.16,willing to negotiate and compromise,He was soft with the deal,hand_written,TRUE,
butt,butt.n.03,a victim of ridicule or pranks,He was the butt of all the jokes,hand_written,TRUE,
mouth,mouthpiece.n.03,a spokesperson (as a lawyer),He was the mouth for Jon during the trial,hand_written,TRUE,
toast,toast.n.02,a celebrity who receives much acclaim and attention,He was the toast of the town,wordnet,TRUE,
tickle,thrill.v.02,feel sudden intense sensation or emotion,He was tickled by the speed and the roar of the engine,hand_written,TRUE,
soft,soft.s.15,out of condition; not strong or robust; incapable of exertion or endurance,He was too soft for the army,wordnet,TRUE,
face,face.n.01,the front of the human head from the forehead to the chin and ear to ear,He washed his face,wordnet,TRUE,
wash,wash.v.09,remove by the application of water or other liquid and soap or some other cleaning agent,He washed the dirt from his coat,wordnet,TRUE,
make,make.v.47,develop into,He will make a splendid father!,wordnet,TRUE,
bee,bee.n.02,a social gathering to carry out some communal task or to hold competitions,He won the spelling bee,hand_written,TRUE,
kitty,pot.n.06,the cumulative amount involved in a game (such as poker),He won the whole kitty last night,hand_written,TRUE,
scissors,scissors.n.02,a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze,He won the wrestling with the scissor,hand_written,FALSE,
boots,boot.n.04,protective casing for something that resembles a leg,He wore a boot for his broken ankle,hand_written,FALSE,
street,street.n.04,a situation offering opportunities,He worked both sides of the street,wordnet,TRUE,
bed,seam.n.03,a stratum of ore or coal thick enough to be mined with profit,He worked in the coal beds,wordnet,TRUE,
swing,swing.n.04,changing location by moving back and forth,He would swing between his office and the breakroom,hand_written,TRUE,
write,write.v.01,produce a literary work,He wrote four novels,wordnet,FALSE,
get,catch.v.22,suffer from the receipt of,He'll get a cold,childes,TRUE,
star,star.n.04,an actor who plays a principal role,He's a film star now,childes,TRUE,
tiger,tiger.n.01,a fierce or audacious person,He's a tiger on the tennis court,wordnet,TRUE,
nuts,nut.n.01,usually large hard-shelled seed,He's allergic to tree nuts,hand_written,TRUE,
dry,dry.s.16,practicing complete abstinence from alcoholic beverages,He's been dry for ten years,wordnet,TRUE,
knock,bump.v.01,knock against with force or violence,He's going to knock somebody over isn't he if he's not careful,childes,TRUE,
climb,climb.v.02,"move with difficulty, by grasping",He's gonna to climb on top of the buildings,childes,TRUE,
bat,bat.n.05,a club used for hitting a ball in various games,He's hitting the ball with a bat,childes,TRUE,
hot,hot.s.15,very good; often used in the negative,He's hot at math but not so hot at history,wordnet,TRUE,
game,game.n.10,your occupation or line of work,He's in the plumbing game,wordnet,TRUE,
go,die.v.01,pass from physical life and lose all bodily attributes and functions necessary to sustain life,"He's ready to go, we have to let him die",hand_written,FALSE,
lamb,lamb.n.03,a person easily deceived or cheated (especially in financial matters),He's such a lamb he's been tricked again and lost $500,hand_written,TRUE,
lion,lion.n.02,a celebrity who is lionized (much sought after),"He's such a lion, everyone wants to work with him",hand_written,TRUE,
mouse,mouse.n.03,person who is quiet or timid,He's such a mouse in class,hand_written,TRUE,
yellow,chicken.s.01,easily frightened,He's too yellow to go skydiving,hand_written,TRUE,
make,make.v.08,compel or make somebody or something to act in a certain way,Heat makes you sweat,wordnet,TRUE,
heavy,heavy.a.03,of the military or industry; using (or being) the heaviest and most powerful armaments or weapons or equipment,Heavy artillery,wordnet,TRUE,
heavy,heavy.s.23,requiring or showing effort,Heavy breathing,wordnet,TRUE,
heavy,dense.s.01,permitting little if any light to pass through because of denseness of matter,Heavy fog,wordnet,TRUE,
heavy,heavy.s.25,lacking lightness or liveliness,Heavy humor,wordnet,TRUE,
heavy,heavy.a.09,"(physics, chemistry) being or containing an isotope with greater than average atomic mass or weight",Heavy hydrogen,wordnet,TRUE,
heavy,big.s.06,prodigious,Heavy investor,wordnet,TRUE,
heavy,grave.s.03,of great gravity or crucial import; requiring serious thought,Heavy matters of state,wordnet,TRUE,
heavy,heavy.s.15,full and loud and deep,Heavy sounds,wordnet,TRUE,
heavy,heavy.a.02,unusually great in degree or quantity or number,Heavy taxes,wordnet,TRUE,
heavy,arduous.s.01,characterized by effort to the point of exhaustion; especially physical effort,Heavy work,wordnet,TRUE,
touch,touch.v.02,perceive via the tactile sense,Helen Keller felt the physical world by touching people and objects around her,wordnet,TRUE,
close,close.v.11,"come together, as if in an embrace",Her arms closed around her long lost relative,wordnet,TRUE,
sweep,swing.v.05,make a big sweeping gesture or movement,Her arms sweeped through the air,hand_written,TRUE,
button,button.n.01,a round fastener sewn to shirts and coats etc to fit through buttonholes,Her button popped off,hand_written,TRUE,
get,get.v.28,irritate,Her childish behavior really get to me,wordnet,TRUE,
sad,deplorable.s.01,bad; unfortunate,Her clothes were in sad shape,wordnet,TRUE,
juice,juice.n.02,energetic vitality,Her creative juices were flowing,wordnet,TRUE,
tear,tear.v.05,fill with tears or shed tears,Her eyes were tearing,wordnet,TRUE,
fall,fall.v.26,assume a disappointed or sad expression,Her face fell when she heard that she would be laid off,wordnet,FALSE,
finger,finger.n.01,any of the terminal members of the hand (sometimes excepting the thumb),Her fingers were long and thin,wordnet,TRUE,
shower,shower.n.06,a party of friends assembled to present gifts (usually of a specified kind) to a person,Her friends organized a baby shower for her when she was expecting,wordnet,TRUE,
take,claim.v.05,take as an undesirable consequence of some event or state of affairs,Her hard work took its toll on her,wordnet,FALSE,
jump,rise.v.11,rise in rank or status,Her new novel jumped high on the bestseller list,wordnet,TRUE,
sweep,sweep.v.07,win an overwhelming victory in or on,Her new show dog swept all championships,wordnet,FALSE,
run,ladder.v.01,come unraveled or undone as if by snagging,Her nylons were running,wordnet,TRUE,
feed,feed.v.03,feed into; supply,Her success feeds her vanity,wordnet,TRUE,
break,break.v.52,change suddenly from one tone quality or register to another,Her voice broke to a whisper when she started to talk about her children,wordnet,FALSE,
carry,carry.v.19,be conveyed over a certain distance,Her voice carries very well in this big opera house,wordnet,FALSE,
write,spell.v.03,write or name the letters that comprise the conventionally accepted form of (a word or part of a word),Here do you wanna write your name,childes,TRUE,
bench,workbench.n.01,a strong worktable for a carpenter or mechanic,Here's a tool bench,childes,TRUE,
milk,milk.n.04,any of several nutritive milklike liquids,Here's your soy milk,childes,TRUE,
bug,bug.n.03,a small hidden microphone; for listening secretly,Hid the bug in the plant so they won't know that we are listening,hand_written,TRUE,
feed,feed.v.05,support or promote,His admiration fed her vanity,wordnet,FALSE,
clap,clap.v.06,"strike with the flat of the hand; usually in a friendly way, as in encouragement or greeting",His dad clapped his back after he made the goal,hand_written,TRUE,
fall,fall.v.27,be cast down,His eyes fell,hand_written,FALSE,
get,grow.v.08,come to have or undergo a change of (physical features and attributes),His eyes get big and soft,childes,TRUE,
work,work.v.10,move in an agitated manner,His fingers worked with tension,wordnet,TRUE,
first,inaugural.s.02,serving to set in motion,His first (or maiden) speech in Congress,wordnet,TRUE,
ride,ride.v.06,be sustained or supported or borne,His glasses rode high on his nose,wordnet,FALSE,
show,show.v.08,be or become visible or noticeable,His good upbringing really shows,wordnet,TRUE,
comb,comb.n.05,the act of drawing a comb through hair,His hair needed a comb,wordnet,TRUE,
shake,shake.v.02,move with or as if with a tremor,His hands shook,wordnet,TRUE,
cloud,cloud.n.03,out of touch with reality,His head was in the clouds,wordnet,TRUE,
